nombre,sector,cohorte,descripcion,slug
Salesdep.ia,IA,MAR26,Salesdep automatiza la comunicación con agentes de IA,salesdep-ia
Soquimat SpA,Deeptech,MAR26,Valoriza residuos forestales creando aditivos para pinturas,soquimat-spa
RondoAI,IA,MAR26,Agentes de IA que convierten datos de fans en ingresos,rondoai
Pantallas LED Valencia,Sin definir,MAR26,PLV proporciona soluciones digitales avanzadas para negocios.,pantallas-led-valencia
Ritmo Studio,Retail,MAR26,Ritmo gestiona música y anuncios con IA para cadenas retail,ritmo-studio
SolNow,Turismo,MAR26,SolNow automatiza ventas y operaciones para empresas de charter.,solnow
SocialBreak,Salud,MAR26,"Terapia en español de calidad, accesible para todos.",socialbreak
Remy,Alimentación,MAR26,IA que transforma la inspiración culinaria en compras recurrentes,remy
SmartCookie,Educación,MAR26,Aplicación de gestión y productividad para docentes,smartcookie
REKO,Salud,MAR26,"App para descubrir, planificar y recordar tus logros deportivos.",reko
Rating Sky,IA,MAR26,Forja la reputación online que los ecommerce merecen.,rating-sky
Otrebé,Construcción,MAR26,La solución circular que transforma residuos plásticos en activos,otrebe
RYLTY MUSIC,Ecommerce,MAR26,RYLTY es una distribuidora musical,rylty-music
Pronos AI,IA,MAR26,Tutores con IA personalizados para formaciones online,pronos-ai
PRESENCIA,Sin definir,MAR26,La forma más ágil e intuitiva de gestionar los RRHH.,presencia
OnPack,Sin definir,MAR26,Especialistas en embalaje para empresas de comercio electrónico.,onpack
moviinn,Sin definir,MAR26,moviinn facilita la movilidad internacional de personas y empresas,moviinn
MERÍA,Salud,MAR26,Conectar a enfermeros con empresas del sector salud.,meria
PANDA,Salud,MAR26,"Modelo integral que conecta entrenamiento, salud y bienestar.",panda
Mediterranean Routes,Turismo,MAR26,Experiencias turísticas únicas y exclusivas sobre dos ruedas,mediterranean-routes
Minsenzia,Ecommerce,MAR26,Objetos para el espacio de trabajo y una app para ordenar el día.,minsenzia
Maska,Retail,MAR26,Verifica la comunicación verde de las marcas y evita greenwashing,maska
Pong City,Retail,MAR26,Nos vemos en la mesa.,pong-city
Mi Dirección Europea,Ecommerce,MAR26,MDE desarrolla soluciones digitales de forwarding internacional,mi-direccion-europea-mde
MAS MAYOR TECH,Salud,MAR26,Tecnología para nuestros mayores que mejora su calidad de vida,mas-mayor-tech
PM Oposiciones,Educación,MAR26,Preparación integral de opositoras basada en ciencia y método.,pm-oposiciones
Lymon,HORECA,MAR26,Reduce gastos operativos y aumenta las ventas en HORECA.,lymon
LUYOA,Alimentación,MAR26,LUYOA permite a restaurantes cobrar con QR en mesa y crecer.,luyoa
MEDUSA BAY,Retail,MAR26,Moda masculina hecha para disfrutar,medusa-bay
Onesto,Retail,MAR26,Plataforma all-in-one de creación de contenido para empresas,onesto
LICENSEWARE,Deeptech,MAR26,LICENSEWARE es una plataforma para la gestión de activos software,licenseware
NOMAAK,Construcción,MAR26,Conectar empresas con ingenieros y arquitectos.,nomaak
Platypool,Ecommerce,MAR26,Innovación eficaz que limpia la superficie de tu piscina,platypool
Niubiq,IA,MAR26,Equipo digital que convierte tus reuniones de venta en un sistema,niubiq
Zomai,Finanzas,MAR26,Zomai permite tokenizar y vender servicios jurídicos en créditos,zomai
Clodei,IA,MAR26,Cómputo bajo demanda especializado para IA,clodei
LaiaDesk,IA,MAR26,"Automatización con IA para empresas, privada, segura y conectada.",laiadesk
Muvail Systems,IA,MAR26,Automatizaciones con inteligencia artificial,muvail-systems
kliniKOS,Salud,MAR26,KliniKOS es el software que está revolucionando el sector dental,klinikos
MURISANA,Salud,MAR26,Mejorar la visibilidad online de profesionales de la salud,murisana
Kämpe,Educación,MAR26,Kämpe es una plataforma para entrar y crecer en oficios técnicos,kampe
Intake,IA,MAR26,Software de atención al cliente para startups,intake
Safefy,IA,MAR26,SaaS con IA que digitaliza la gestión de emergencias y procesos.,safefy
KALEIDOOK,Turismo,MAR26,KALEIDOOK optimiza la gestión de pañales en hoteles familiares.,kaleidook
BY ELENA CARRERA,Retail,MAR26,Marca de joyería fina creada y fabricada en España.,by-elena-carrera
Scoutbasketball,Sin definir,MAR26,Plataforma que unifica estadísticas de baloncesto global,scoutbasketball
GOODBYE MAMA,Construcción,MAR26,GOODBYE MAMA permite a jóvenes elegir dónde y con quién convivir.,goodbye-mama
Fintiq,Finanzas,MAR26,Fintiq digitaliza la gestión y supervisión de pagos en obra.,fintiq
Extensa,IA,MAR26,Plataforma de IA para captación de clientes B2B,extensa
FARMACOPILOT,Salud,MAR26,Gestión farmacéutica inteligente ahorrando tiempo y costes,farmacopilot
Stooner,Ecommerce,MAR26,Marca de moda basada en el streetwear refinado español,stooner
ExpertVision AI,IA,MAR26,Detección automática de hurto en tienda con cámaras e IA.,expertvision-ai
El Workshop,Ecommerce,MAR26,Plataforma de distribución de mobiliario de diseño para proyectos,el-workshop
Hander VET,Salud,MAR26,Veterinarios a domicilio. Visados y eutanasias de mascotas,hander-vet
SUNXY,Retail,MAR26,Marca de gafas de sol de tendencia a precio accesible,sunxy
Gooers,Sin definir,MAR26,Contratación de freelancers creativos y gestión de proyectos.,gooers
Beetrics,Salud,MAR26,Detección de talento en grandes empresas,beetrics
Ekanite,Turismo,MAR26,Conoce a tu familia a través de la música,ekanite
Funeral System,IA,MAR26,"CRM y ERP con flujos de IA, especializado en sector funerario",funeral-system
Educ.IA,IA,MAR26,Automatización operativa inteligente para centros de formación,educ-ia
DEUS Crate,Ecommerce,MAR26,Ecosistema de herramientas y formación para productores musicales,deus-crate
LUP,IA,MAR26,Desarrolla soluciones tecnológicas para la accesibilidad,lup
HybridWod,Salud,MAR26,"Entrenamiento híbrido en una app: plan, datos y comunidad",hybridwod
Envezdeflores,Ecommerce,MAR26,Envezdeflores crea regalos personalizados para cada ocasión.,envezdeflores
FORIDER,Retail,MAR26,Ropa streetwear con protección para motorista,forider
Brainboost,Educación,MAR26,Agentes de IA para alumnos integrados en campus virtual,brainboost
Decomind,IA,MAR26,Facilitar el día a día de la captación inmobiliaria,decomind
Happyideas,Ecommerce,MAR26,Marca de artículos de regalo originales y con personalidad,happyideas
dataker,IA,MAR26,Soberanía de datos y cumplimiento legal en IA,dataker
BCAPP,Gaming,MAR26,La plataforma que conecta marcas con comunidades deportivas,bcapp
Babybelegal,Sin definir,MAR26,Gestoría digitalizada especializada en trámites de nacimiento,babybelegal
Avium,Deeptech,MAR26,Soluciones autónomas de drones para automatización operativa.,avium
AulaPay,Educación,MAR26,La plataforma de gestión de pagos en centros educativos.,aulapay
TORRICAMINOS,Ecommerce,MAR26,"Desarrollo de calzado infantil respetuoso, creado por podólogos",torricaminos
FORGATE,Turismo,MAR26,Gestión automatizada de objetos perdidos en hoteles,forgate
Limbium,Salud,MAR26,"Diseño, fabricación y venta de prótesis de miembro superior.",limbium
Datablocks,Cripto,MAR26,Plataforma de analítica de datos blockchain para inversores,datablocks
MystherAI,IA,MAR26,Flexibilizan la producción audiovisual con IA generativa 3D.,mystherai
ZapUp,Retail,MAR26,ZapUp impulsa la carga portátil en negocios,zapup
DARWIN Biomed,Salud,MAR26,Robótica asistencial con inteligencia avanzada para séniors,darwin-biomed
Wazoo,Movilidad,MAR26,Alquiler de coches entre particulares.,wazoo
ARTIMARK,Retail,MAR26,Artimark diseña y fabrica ropa personalizada para empresas.,artimark
Anthale,IA,MAR26,"Anthale, el cortafuegos para los agentes de IA de las empresas",anthale
AMAPOLA LAB,Ecommerce,MAR26,Revelan imágenes y textos sobre tejidos de algodón.,amapola-lab
Aiscopia,Salud,MAR26,Diagnóstico de cáncer en biopsias automatizado.,aiscopia
HomeDock OS,Deeptech,MAR26,Convierte cualquier ordenador en una nube privada y segura.,homedock-os
HealthMate,IA,MAR26,Empleados digitales impulsados por IA para hospitales y clínicas,healthmate
CORINTIA,Retail,MAR26,Marca valenciana de moda para invitadas de talla grande.,corintia
Voira,Ecommerce,MAR26,Marca valenciana de abanicos artesanales de lujo asequible,voira
FoodWeb.AI,HORECA,MAR26,Optimiza procesos de restaurantes con inteligencia artificial,foodweb-ai
Cool Pets,Salud,MAR26,La solución digital de higiene y peluquería móvil para mascotas,cool-pets
Enetres,IA,MAR26,Servicios de streaming profesional para emisión de eventos.,enetres
Flynspire,Construcción,MAR26,Tecnología para biovalorización de residuos agroalimentarios.,flynspire
Civitphone,IA,MAR26,Asistente telefónico con IA para ayuntamientos,civitphone
CISEC,Deeptech,MAR26,Consultoría de ciberseguridad con agente ofensivo propio,cisec
VEVIPRO,Sin definir,MAR26,Automatizamos la venta de viviendas para propietarios.,vevipro
Casita In Spain,Educación,MAR26,CIS gestiona programas de educación de estudiantes internacionales,casita-in-spain
Unidema,Educación,MAR26,Formar online y certificar en economía y liderazgo,unidema
Brandy&Co,Educación,MAR26,Modelo de gestión y sistema operativo para academias de inglés,brandyco
banAIna Solution,IA,MAR26,banAIna es una plataforma de IA para empresas.,banaina-solution
BONNEE,Ecommerce,MAR26,BONNEE es una app de moda circular,bonnee
TU ROPA,Ecommerce,MAR26,Tu Ropa impulsa marcas con producción textil bajo demanda.,tu-ropa
Cadabit,IA,MAR26,Cadabit desarrolla y escala productos tecnológicos basados en IA,cadabit
KONKLUA,Construcción,MAR26,IA para la realización de estudios de mercado de obra nueva,konklua
Viads Advertising,Sin definir,MAR26,Optimización de operaciones y monetización para medios digitales.,viads-advertising
BluPro,IA,MAR26,BluPro escala el funnel comercial del sector inmobiliario.,blupro
beLASAI,Salud,MAR26,Proporciona servicios de bienestar para empresas y sus empleados.,belasai
Caldra,Salud,MAR26,IA clínica que resuelve dudas médicas con evidencia científica.,caldra
Go Mate,Educación,MAR26,Go Mate conecta universitarios con su alojamiento ideal,go-mate
Nidus,Sin definir,Alumni,Trazando un camino más verde en la innovación inmobiliaria,nidus
Sepiia,Moda,Alumni,Marca de moda inteligente,sepiia
Gana Energía,Energía,Alumni,Comercializadora de energía y gas,gana-energia
Holafly,Sin definir,Alumni,Tarjetas eSIM para seguir conectado dondequiera que viajes,holafly
AISUPPLY,IA,SEPT25,Soluciones de IA para automatizar y hacer crecer empresas,aisupply
Evergreen Recycling,Retail,SEPT25,Transformamos y vendemos polietileno reciclado.,evergreen-recycling
Iwaky,Retail,SEPT25,Tecnología reacondicionada para consumo responsable y sostenible,iwaky
Zaindari,Salud,SEPT25,Redes inteligentes para hacer de la tecnología una herramienta,zaindari
Totenart.com,Educación,SEPT25,"Venta de materiales, herramientas y maquinaria para Bellas Artes",totenart-com
MindChef,HORECA,SEPT25,El asistente digital para chefs y restaurantes,mindchef
CRS Protection,Sin definir,SEPT25,Llevamos la experiencia del detailing a cualquier persona.,crs-protection
Bold Factory,IA,SEPT25,Plataforma para digitalizar las operaciones de las fábricas.,bold-factory
PASALY,Ecommerce,SEPT25,Plataforma de compra y venta de ropa de segunda mano seleccionada,pasaly
Footbik,Educación,SEPT25,Una red internacional de centros de desarrollo temprano de fútbol,footbik
SpainU,Movilidad,SEPT25,La app que simplifica la movilidad internacional,spainu
Wesolving Finance,Finanzas,SEPT25,Análisis de riesgo crediticio a particulares y empresas.,wesolving-finance-s-l
ChatPol,IA,SEPT25,"ChatPol, la IA que transforma la labor policial",chatpol
GalgoSheets,IA,SEPT25,Software para el cálculo y distribución de pagos a conductores VTC,galgosheets
PERTICAS,IA,SEPT25,Plataforma que crea looks personalizados con tu propia ropa,perticas
Kaimok Design,Ecommerce,SEPT25,Accesorios decorativos de almacenamiento de pared.,kaimok-design
Circu,Ecommerce,SEPT25,Moda sostenible y circular con alma mediterránea.,circu
tQel,Ecommerce,SEPT25,Moda con estilo: ropa que entiende de verdad a los perros,tqel
Vinkova,Ecommerce,SEPT25,"Diseño, fabricación y venta de maillots de gimnasia rítmica",vinkova
Trucking Innovation,Construcción,SEPT25,Desarrollamos apps para control de obra.,trucking-innovation
Muntatges Ximo,Construcción,SEPT25,Suministro e instalación de puertas automáticas y automatismos,muntatges-ximo
Cargamos,HORECA,SEPT25,Alquiler de powerbanks en espacios públicos,cargamos
ODELYNE TECHNOLOGY,Ecommerce,SEPT25,Dispositivos de fototerapia LED para el cuidado avanzado de la piel,odelyne-technology
BeAmbassador,Deeptech,SEPT25,BeAmbassador crea y gestiona redes de embajadores de marca,beambassador
MAS EVENTS,Turismo,SEPT25,Eventos corporativos de alto impacto con producción audiovisual,mas-events
IONLY,Deeptech,SEPT25,IONLY diseña y fabrica baterías para almacenamiento fotovoltaico.,ionly
Nexus,Construcción,SEPT25,Sin descripción publicada en la ficha.,nexus
Archivo Final,IA,SEPT25,Conectamos tu manuscrito con la editorial que lo está buscando,archivo-final
Puebli Conecta,Turismo,SEPT25,"Tu pueblo, tu gente, tu app.",puebli-conecta
futbolbase.tv,Gaming,SEPT25,Streaming y profesionalización del club.,futbolbase-tv
Finne,Salud,SEPT25,Una plataforma que promueve el bienestar laboral en oficinas.,finne
Oona,Salud,SEPT25,Plataforma de actividades de bienestar,oona
STR Drones,Construcción,SEPT25,Diagnóstico automatizado de instalaciones fotovoltaicas grandes.,str-drones
Rescrito,Educación,SEPT25,Plataforma de escritura con IA para la investigación profesional.,rescrito
Soulei,Retail,SEPT25,Marca mediterránea de vacaciones,soulei
Northern Spain Travel,Turismo,SEPT25,Northern Spain Travel crea viajes a medida en el norte de España.,northern-spain-travel
Alder Lab,IA,SEPT25,Entiende tus datos y conviértelos en decisiones claras.,alder-lab
Scope AI,IA,SEPT25,Analítica conversacional de datos para empresas manufactureras,scope-ai
Kode,Educación,SEPT25,Ofrecer una educación enfocada en las tecnologías del mañana.,kode
MENTOOR,Educación,SEPT25,Los mejores profesores particulares de España,mentoor
ProMec 3D,Alimentación,SEPT25,Sistemas de transporte en espiral para el sector alimentario,promec-3d
Airway Shield,Salud,SEPT25,Intubación más segura y más fácil en todo el mundo.,airway-shield
GoToGoal,Salud,SEPT25,Entrena con datos. Compite mejor.,gotogoal
Eventuy,Turismo,SEPT25,"Todo lo que tu evento necesita, en un solo lugar",eventuy
RIDE-ON Riders & Mechanics,Salud,SEPT25,Ride On conecta talleres y ciclistas con gestión y mantenimiento,ride-on-riders-mechanics
Origrip,Salud,SEPT25,Productos de protección para alto rendimiento y deportistas élite,origrip
Equanima,Salud,SEPT25,Equanima reduce el estrés y la ansiedad gestionando tus emociones,equanima
Veiko,Movilidad,SEPT25,Marketplace B2B de vehículos de ocasión,veiko
Ola Creators,Retail,SEPT25,Contratación de creadores de contenido y perfiles de RRSS,ola-creators
Jimmy Lies,Ecommerce,SEPT25,"Hacemos únicamente ropa, y muchas cosas más.",jimmy-lies
FromageClub,Turismo,SEPT25,Eventos efímeros que crean comunidad y conexiones reales,fromageclub
MARNIFIC,Turismo,SEPT25,Disfruta de una embarcación con un modelo por suscripción,marnific
Alpha Rho Technologies,Finanzas,SEPT25,Digitalizamos la gestión de fondos de inversión.,alpha-rho-technologies
Tipi,IA,SEPT25,Gestiona el restaurante con tu voz,tipi
Galatea Jewelry,Ecommerce,SEPT25,Marca de joyas.,galatea-jewelry
Tu Trámite Fácil,Finanzas,SEPT25,Gestión rápida de ayudas públicas,tu-tramite-facil
PLOOT.AI,IA,SEPT25,Posicionamos tu empresa en LinkedIn para atraer clientes.,ploot-ai
Kids&Clouds,Educación,SEPT25,Mejoramos la comunicación de los centros educativos y deportivos,kidsclouds
Payload,Ecommerce,SEPT25,Plataforma de transferencia de medios para profesionales creativos,payload
TRABEM HEALTH,Salud,SEPT25,SaaS de automatización de procesos en clínicas de salud.,trabem-health
SOLUX PROTECCIÓN SOLAR,Construcción,SEPT25,Fabricación y venta de productos de protección solar.,solux-proteccion-solar
Wild Rain Cosmetics,Ecommerce,SEPT25,Wild Rain: eficacia demostrada con la fuerza de lo salvaje,wild-rain-cosmetics
MUNÉ,Ecommerce,SEPT25,"Muné, slippers y calcetines sostenibles",mune
